Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
	Dialled prefix, no answer	CV_PfxTermNoAnswer = 11	IT.PfxTermNoAnswer	BGCF, MGCF, RGCF	
	Dialled prefix, no answer, incoming call	CV_PfxIncTermNoAnswer = 12			števec v IMS ni smiselen
	Dialled prefix, unsuccessful, other reason	CV_PfxUnsucc = 7	IT.PfxUnsuccOther	BGCF, MGCF, RGCF	
	Dialled prefix, unsuccess, incoming call	CV_PfxIncUnsucc = 8			števec v IMS ni smiselen
	Dialled prefix, answer	CV_PfxAnswer = 13	IT.PfxAnswer	BGCF, MGCF, RGCF	
	Dialled prefix, answer, incoming call	CV_PfxIncAnswer = 14			števec v IMS ni smiselen
	Dialled prefix, incomplete dialling	CV_PfxIncmpl = 3	IT.PfxIncmpl	BGCF, MGCF, RGCF	
	Dialled prefix, incomplete dialling, incoming call	CV_PfxIncIncmpl = 4			števec v IMS ni smiselen
	Dialled prefix, wrong number	CV_PfxWrongDN = 5	IT.PfxWrongDN	BGCF, MGCF, RGCF	
	Dialled prefix, wrong number, incoming call	CV_PfxIncWrongDN = 6			števec v IMS ni smiselen
	Dialled prefix, no free trunk to destination	CV_PfxNoTrunk = 15	IT.PfxNoTrunk 	BGCF, MGCF, RGCF	
	Dialled prefix, no free trunk to destination, incoming call	CV_PfxIncNoTrunk = 16			števec v IMS ni smiselen
CV_CACPfxStstGrp = 200	CAC prefix Statistics				
	Dialled CAC prefix	CV_PfxCallAtt = 1	IT.CACCallAtt	TAS	
	Dialled CAC prefix, incoming call	CV_PfxIncCall = 2			števec v IMS ni smiselen
	Dialled CAC prefix, subscriber busy	CV_PfxTermBusy = 9	IT.CACTermBusy	TAS	
	Dialled CAC prefix, subscriber busy, incoming call	CV_PfxIncTermBusy = 10			števec v IMS ni smiselen
	Dialled CAC prefix, no answer	CV_PfxTermNoAnswer = 11	IT.CACTermNoAnswer	TAS	
	Dialled CAC prefix, no answer, incoming call	CV_PfxIncTermNoAnswer = 12			števec v IMS ni smiselen
	Dialled CAC prefix, unsuccessful, other reason	CV_PfxUnsucc = 7	IT.CACUnsuccOther	TAS	
	Dialled CAC prefix, unsuccess, incoming call	CV_PfxIncUnsucc = 8			števec v IMS ni smiselen
	Dialled CAC prefix, answer	CV_PfxAnswer = 13	IT.CACAnswer	TAS	
	Dialled CAC prefix, answer, incoming call	CV_PfxIncAnswer = 14			števec v IMS ni smiselen
	Dialled CAC prefix, incomplete dialling	CV_PfxIncmpl = 3	IT.CACIncmpl	TAS	
	Dialled CAC prefix, incomplete dialling, incoming call	CV_PfxIncIncmpl = 4			števec v IMS ni smiselen
	Dialled CAC prefix, wrong number	CV_PfxWrongDN = 5	IT.CACWrongDN	TAS	
	Dialled CAC prefix, wrong number, incoming call	CV_PfxIncWrongDN = 6			števec v IMS ni smiselen
	Dialled CAC prefix, no free trunk to destination	CV_PfxNoTrunk = 15	IT.CACNoTrunk 	TAS	
	Dialled CAC prefix, no free trunk to destination, incoming call	CV_PfxIncNoTrunk = 16			števec v IMS ni smiselen
	CAC analysed but information not used for outgoing routing	CV_CACNotUsed = 17	IT.CACNotUsed	TAS	
CV_StstSSNo7_SL = 10	SSNo7 signal links Statistics				
	Duration of SSNo7 signalling link in service	CV_SS7_SL_InService = 1	IT.SS7_SL_InService	MGCF, RGCF, BGCF	
	SSNo7 signalling link failure, all reason	CV_SS7_SL_Failure = 2	IT.SS7_SL_Failure	MGCF, RGCF, BGCF	
	Number of signalling units received in error	CV_SS7_SL_SUINError = 3	IT.SS7_SL_SUINError	MGCF, RGCF, BGCF	
	Duration of SSNo7 signalling link unavailability	CV_SS7_SL_Unavailable = 4	IT.SS7_SL_Unavailable 	MGCF, RGCF, BGCF	
	Number of SIF and SIO octets transmitted	CV_SS7_SL_SIFSIOTrans = 5	IT.SS7_SL_SIFSIOTrans	MGCF, RGCF, BGCF	
	Number of SIF and SIO octets received	CV_SS7_SL_SIFSIORec = 6	IT.SS7_SL_SIFSIORec	MGCF, RGCF, BGCF	
